GSM8K_performance,GSM8K_DICE,GSM-hard_performance,GSM-hard_DICE,ASDiv_performance,ASDiv_DICE,MAWPS_performance,MAWPS_DICE
5.0228310502283104,0.3312398824581428,1.5163002274450341,0.3298031377558754,30.158013544018058,0.39025401753498845,37.530266343825666,0.3895370943002416
15.37290715372907,0.5409892304185705,4.245640636846096,0.5369581721683094,28.036117381489845,0.4668908032325058,40.67796610169492,0.4770628872445519
22.526636225266362,0.6367797759589044,5.003790750568612,0.5369581721683094,38.510158013544014,0.5761895063295719,48.03874092009685,0.5788986237046005
30.06088280060883,0.6472501362633187,7.050796057619409,0.5958564475890821,26.13995485327314,0.48051961723250464,37.28813559322034,0.4850404613801455
54.87062404870624,0.6718073195129375,12.812736921910538,0.6405799795147838,28.66817155756208,0.49930647789164784,36.271186440677965,0.5033538088716726
9.931766489764973,0.4143129282799667,2.4260803639120545,0.411409936094031,20.045146726862303,0.41807368499968983,21.35593220338983,0.4189708285845509
0.8339651250947688,0.2254670142673829,0.22744503411675512,0.22582015235646375,6.72686230248307,0.38518724702281824,4.842615012106537,0.3952918274870219
10.68991660348749,0.48925068652430265,2.7293404094010616,0.4867383519115549,26.90744920993228,0.48849531717547984,37.04600484261501,0.48952956354069654
1.819560272934041,0.21189664469552727,0.530705079605762,0.2209412484154546,4.469525959367946,0.3980799706767967,1.694915254237288,0.37868512166903037
10.765731614859742,0.39313748424456,3.411675511751327,0.392335362557302,47.088036117381485,0.54885700685445125,43.12348668280872,0.4991237261393457
